,tokens,ner_tags
0,"['Вице-премьер', 'по', 'социальным', 'вопросам', 'Дарый', 'Селима', 'Платошкина', 'рассказала', ',', 'в', 'каких', 'регионах', 'Виноградовский', 'зафиксирована', 'наиболее', 'высокая', 'смертность', 'от', 'рака', ',', 'сообщает', 'РИА', 'Новости', '.']","['O', 'O', 'O', 'O', 'U-DMN_FIRST_NAME', 'U-DMN_FIRST_NAME', 'U-DMN_LAST_NAME', 'O', 'O', 'O', 'O', 'O', 'U-DMN_DISTRICT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1,"['PO', 'SLOVAM', 'VAVILOVNY', 'GRIShAEVOJ', ',', 'ChASchE', 'VSEGO', 'ONKOLOGIChESKIE', 'ZABOLEVANIJa', ""STANOVILIS'"", 'PRIChINOJ', 'SMERTI', 'V', 'MORDOVIJa', ',', 'ChIGIRINSKOJ', 'UL', 'STR', '855', ',', 'UHNOVOJ', 'I', 'KURLOVO', 'BANGLADESh', ',', 'A', 'TAKZhE', 'V', 'ORShANSKIJ', '.']","['O', 'O', 'U-DMN_MIDDLE_NAME', 'U-DMN_LAST_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_REGION', 'O', 'U-DMN_STREET', 'O', 'B-DMN_HOUSE', 'L-DMN_HOUSE', 'O', 'U-DMN_CITY', 'O', 'U-DMN_CITY', 'U-DMN_COUNTRY', 'O', 'O', 'O', 'O', 'U-DMN_DISTRICT', 'O']"
2,"[""Vitse-prem'er"", 'napomnila', ',', 'chto', 'glavnye', 'faktory', 'smertnosti', 'v', 'Olipijskaja', 'Derevni', 'Str.', '485', 'Ofis', '100', '—', 'rak', 'i', 'bolezni', 'sistemy', 'krovoobraschenija', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DMN_STREET', 'L-DMN_STREET', 'B-DMN_HOUSE', 'I-DMN_HOUSE', 'I-DMN_HOUSE', 'L-DMN_HOUSE', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
3,"['в', 'начале', 'года', 'стало', 'известно', ',', 'что', 'смертность', 'от', 'онкологических', 'заболеваний', 'среди', 'россиян', 'снизилась', 'впервые', 'за', 'три', 'года', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4,"['По', 'данным', 'Росстата', ',', 'в', '2017', 'году', 'от', 'рака', 'умерли', '289', 'тысяч', 'человек', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,"['Это', 'на', '3,5', 'процента', 'меньше', ',', 'чем', 'годом', 'ранее', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
6,"['Ржев', 'правоохранительные', 'органы', 'не', 'представили', 'доказательств', 'нарушения', 'российскими', 'биатлонистами', 'антидопинговых', 'правил', '.']","['U-DMN_CITY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
7,"['ob', 'etom', 'soobschil', 'posol', 'korjukovki', 'v', 'mongolii', 'spiridon', 'sahi', 'schelkonogov', ""evstah'evich"", 'po', 'itogam', 'vstrechi', 'upolnomochennogo', 'advokata', 'dipmissii', 's', 'predstaviteljami', 'prokuratury', 'strany', ',', 'peredaet', 'tass', '.']","['O', 'O', 'O', 'O', 'U-DMN_CITY', 'O', 'U-DMN_COUNTRY', 'U-DMN_LAST_NAME', 'U-DMN_FIRST_NAME', 'U-DMN_LAST_NAME', 'U-DMN_MIDDLE_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,"['«', 'ДЕЙСТВУЕТ', 'ПРЕЗУМПЦИЯ', 'НЕВИНОВНОСТИ', '.']","['O', 'O', 'O', 'O', 'O']"
9,"['Kakih-libo', 'ogranichenij', 'svobody', 'peredvizhenija', 'dlja', 'komandy', 'net', '»', ',', '—', 'dobavili', 'v', ""posol'stve"", '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
